,Training,Validation
1170,1861.8258,3152.8118
1175,2356.8203,3181.5146
1180,2012.4706,3237.9504
1185,2117.7214,3126.3777
1190,2408.2048,3235.355
1195,1969.009,3025.3257
1200,1918.5232,3056.3064
1205,1903.1444,3050.841
1210,1904.425,3075.086
1215,1889.2743,3109.5347
1220,1888.8243,3094.4739
1225,1881.2992,3078.009
1230,1870.2343,3073.1077
1235,1873.3126,3112.8374
1240,1880.186,3084.4475
1245,1853.0275,3122.8213
1250,1847.9357,3128.3196
1255,1849.8706,3218.7825
1260,1842.9379,3223.9883
1265,1853.0808,3214.0208
1270,1980.9429,3247.9758
1275,2466.3467,3155.197
1280,2212.1682,3131.299
1285,1975.2313,3128.2915
1290,2346.7476,4312.5356
1295,2189.8865,3130.2078
1300,2007.266,3051.1572
1305,1956.8302,3127.014
1310,1938.5569,3058.8547
1315,1914.1428,3048.5369
1320,1905.947,3049.4312
1325,1906.8649,3049.1125
1330,1892.5764,3045.079
1335,1866.4976,3047.725
1340,1853.4644,3063.8323
1345,1853.3058,3086.9783
1350,1851.13,3054.8538
1355,1843.2231,3113.0198
1360,1842.0629,3079.665
1365,1822.4213,3096.505
1370,1810.2103,3083.3293
1375,1792.4816,3098.8745
1380,1808.5337,3057.3074
1385,1790.7113,3126.3044
1390,1757.9215,3095.4475
1395,1767.2195,3150.608
1400,4293.3306,6428.6187
1405,2967.8867,3450.624
1410,2880.567,3387.138
1415,2805.3508,3344.2056
1420,2648.625,3443.2954
1425,2526.1667,3312.6836
1430,2256.2798,3177.3845
1435,2138.5283,3099.5415
1440,2085.6511,3131.954
1445,2052.314,3105.4536
1450,2008.1521,3086.0984
1455,2170.2751,3115.4534
1460,2191.2583,3088.0596
1465,1976.7931,3050.7302
1470,1949.8259,3142.4346
1475,1977.8185,3048.5864
