,Training,loss_regul,loss_recon,Validation
680,506.78995,0,506.78995,2308.1997
685,502.51703,0,502.51703,2037.0653
690,492.84604,0,492.84604,2181.133
695,537.6246,0,537.6246,2039.0398
700,517.98883,0,517.98883,2158.8843
705,493.07013,0,493.07013,2200.4329
710,475.86496,0,475.86496,2071.3813
715,481.50928,0,481.50928,2196.402
720,505.90414,0,505.90414,2165.556
725,495.1854,0,495.1854,2151.4128
730,519.5839,0,519.5839,1997.8093
735,488.59067,0,488.59067,2150.6072
740,489.81424,0,489.81424,2090.938
745,480.23407,0,480.23407,2030.3566
750,517.69617,0,517.69617,2169.0042
755,457.9291,0,457.9291,2107.726
760,461.45697,0,461.45697,2104.117
765,466.87155,0,466.87155,2059.1128
770,472.51562,0,472.51562,2113.067
775,465.86594,0,465.86594,2027.5388
780,485.2347,0,485.2347,2041.5209
785,448.65332,0,448.65332,2091.956
790,457.4121,0,457.4121,2064.2231
795,1655.179,0,1655.179,2060.2131
800,1301.077,0,1301.077,1871.9489
805,1079.2004,0,1079.2004,1825.4977
810,814.3907,0,814.3907,1920.3608
815,679.0843,0,679.0843,2075.6726
820,605.96497,0,605.96497,2143.789
825,535.076,0,535.076,2854.7913
830,526.7464,0,526.7464,2817.351
835,513.82513,0,513.82513,2949.0085
840,544.97064,0,544.97064,2894.6936
845,489.20297,0,489.20297,2780.329
850,470.1369,0,470.1369,2891.078
855,456.60867,0,456.60867,2869.7354
860,451.37338,0,451.37338,2921.764
865,443.88983,0,443.88983,2888.635
870,449.82773,0,449.82773,2905.5125
875,439.9458,0,439.9458,2865.3896
880,456.96628,0,456.96628,2864.081
885,453.2798,0,453.2798,2843.18
890,433.40857,0,433.40857,2818.2766
895,449.08963,0,449.08963,2858.5676
900,433.12457,0,433.12457,2856.328
905,428.5992,0,428.5992,2890.8616
910,459.1857,0,459.1857,2895.247
915,424.89874,0,424.89874,2856.031
920,418.9849,0,418.9849,2790.8577
925,416.7943,0,416.7943,2842.8127
930,417.00525,0,417.00525,2055.6013
935,464.00763,0,464.00763,2136.4758
940,416.2445,0,416.2445,2137.7734
945,462.43338,0,462.43338,2237.555
950,453.8043,0,453.8043,2912.5864
955,421.1696,0,421.1696,2209.741
960,412.32846,0,412.32846,2122.9504
965,418.54965,0,418.54965,2216.9714
970,426.41745,0,426.41745,2220.1033
975,434.27103,0,434.27103,2250.8643
980,424.34454,0,424.34454,2189.4736
985,410.75565,0,410.75565,2105.7595
990,413.6696,0,413.6696,2207.634
995,413.6989,0,413.6989,2180.1868
